referral_id,referrer_id,referee_id,referral_code,timestamp,referrer_device_id,referee_device_id,referrer_ip,referee_ip,ip_account_count,email_domain,referrer_account_age_days,referee_account_age_days,referrals_in_7d,referrals_in_1hr,min_gap_sec,referral_code_usage_7d,referrer_city,referee_city,geo_velocity_kmph,location_mismatch_flag,same_address_count,pan_hash,identity_risk_score,credit_age_months,device_similarity_score,card_activated,cash_advance_ratio,promo_active,promo_start_gap_min,referrer_dormancy_days,referral_cluster_id,referral_cluster_size,fraud_type,is_fraud
REF_003330,CUST_30246,CUST_96117,CODE_0246_907,2025-08-23 12:08:40,DEV_F4352864,DEV_4EBF0908,172.18.225.174,10.178.33.176,2,icloud.com,1484,291,3,0,66824,1,Ahmedabad,Delhi,13.17,False,2,c13c565f7cfd02b8,0.18,15,0.013,True,0.098,False,-1,23,CLUSTER_0000,1,LEGITIMATE,0
REF_007515,CUST_54250,CUST_71178,CODE_4250_982,2025-05-25 02:16:02,DEV_71D54020,DEV_4DE61B87,10.237.229.183,192.168.98.164,2,gmail.com,247,112,2,0,28917,1,Chennai,Mumbai,17.75,False,1,f00d2c8ea53ed88f,0.17,93,0.115,True,0.054,False,-1,19,CLUSTER_0000,1,LEGITIMATE,0
REF_007624,CUST_37248,CUST_63795,CODE_7248_163,2026-02-09 04:08:25,DEV_C8E04D8D,DEV_FE3325FB,172.18.228.99,172.27.83.166,1,rediffmail.com,1621,308,1,0,68647,5,Chennai,Jaipur,49.21,False,1,8b3b66596bf48a90,0.101,26,0.433,True,0.018,False,-1,22,CLUSTER_0000,1,LEGITIMATE,0
REF_003536,CUST_52628,CUST_67423,CODE_2628_376,2026-01-20 15:15:46,DEV_556C900D,DEV_58927632,10.183.107.136,172.31.180.105,2,yahoo.com,1027,330,0,0,52846,3,Surat,Jaipur,24.25,False,1,e63fa9da26673e67,0.15,49,0.015,True,0.055,False,-1,21,CLUSTER_0000,1,LEGITIMATE,0
REF_007867,CUST_38711,CUST_82624,CODE_8711_629,2025-07-18 11:46:59,DEV_A032CB16,DEV_2D248CF4,192.168.250.32,192.168.10.170,1,outlook.com,809,322,3,0,78125,2,Ahmedabad,Bengaluru,19.5,False,1,514dd6fc82b2de24,0.209,15,0.452,True,0.001,False,-1,16,CLUSTER_0000,1,LEGITIMATE,0
REF_002363,CUST_24328,CUST_90784,CODE_4328_338,2025-07-03 09:21:31,DEV_284DB7D1,DEV_0A9EA67A,10.174.53.80,172.19.182.16,1,outlook.com,880,285,2,0,25509,4,Jaipur,Chennai,29.77,False,2,7eb0dc85138f3387,0.069,39,0.227,True,0.127,False,-1,9,CLUSTER_0000,1,LEGITIMATE,0
REF_008471,CUST_46031,CUST_81183,CODE_6031_269,2025-10-18 09:23:03,DEV_8A10AC85,DEV_8A10AC85,10.189.50.167,172.29.110.80,2,gmail.com,1302,30,1,1,44027,5,Hyderabad,Hyderabad,28.95,False,1,98b10a5f2caf1fc9,0.101,73,0.384,True,0.15,False,-1,20,CLUSTER_0000,1,SELF_REFERRAL,1
REF_002485,CUST_20783,CUST_89135,CODE_0783_363,2025-10-20 19:35:12,DEV_4AAB643A,DEV_A379323F,192.168.143.55,10.105.123.177,2,protonmail.com,288,59,3,0,60821,2,Ahmedabad,Hyderabad,24.63,False,1,5a99b0877c08f89c,0.094,38,0.311,True,0.022,False,-1,28,CLUSTER_0000,1,LEGITIMATE,0
REF_006097,CUST_40490,CUST_78758,CODE_0490_394,2026-01-15 21:45:03,DEV_1F5BC27B,DEV_5AAE39A9,172.24.200.77,192.168.101.51,2,yahoo.com,1380,258,3,0,13854,2,Jaipur,Mumbai,9.87,False,2,65139197e72fb7d1,0.264,27,0.409,True,0.02,False,-1,5,CLUSTER_0000,1,LEGITIMATE,0
REF_004958,CUST_12438,CUST_71940,CODE_2438_411,2026-04-16 09:05:00,DEV_F1EBD224,DEV_ECAE3339,192.168.70.178,192.168.116.237,1,yahoo.com,1263,84,0,0,73790,1,Ahmedabad,Kolkata,22.42,False,2,381155fb9c029399,0.074,65,0.207,True,0.104,False,-1,4,CLUSTER_0000,1,LEGITIMATE,0
REF_004804,CUST_36920,CUST_88560,CODE_6920_144,2025-09-23 10:19:30,DEV_2069DB69,DEV_45C41304,172.26.126.81,10.15.104.196,1,hotmail.com,472,252,3,0,57061,2,Pune,Delhi,37.93,False,1,66bfcf808445ca38,0.215,27,0.057,True,0.01,False,-1,12,CLUSTER_0000,1,LEGITIMATE,0
REF_004529,CUST_39799,CUST_95674,CODE_9799_434,2026-04-12 20:50:32,DEV_E14E4F20,DEV_9D2DC2A3,192.168.158.44,192.168.255.90,2,icloud.com,1499,201,3,0,66906,1,Pune,Jaipur,47.16,False,2,9584236031e4c756,0.121,45,0.262,True,0.014,False,-1,22,CLUSTER_0000,1,LEGITIMATE,0
REF_004158,CUST_39714,CUST_74435,CODE_9714_750,2026-04-11 03:08:51,DEV_0C7F82E1,DEV_E9B887A9,10.46.139.173,172.17.98.152,1,rediffmail.com,306,157,0,0,81932,5,Pune,Surat,13.68,False,2,ed4643384761448b,0.213,43,0.176,True,0.122,False,-1,24,CLUSTER_0000,1,LEGITIMATE,0
REF_004541,CUST_22082,CUST_89212,CODE_2082_152,2026-03-22 12:25:51,DEV_921B95CF,DEV_947BB679,172.23.93.17,192.168.31.116,1,icloud.com,476,53,3,0,61427,3,Hyderabad,Kolkata,36.17,False,2,873a536f2dcc65c5,0.25,78,0.466,True,0.099,False,-1,3,CLUSTER_0000,1,LEGITIMATE,0
REF_000484,CUST_38688,CUST_93864,CODE_8688_182,2025-12-25 19:44:02,DEV_16CA7D1A,DEV_386F01F3,192.168.65.110,172.30.58.92,1,yahoo.com,973,364,1,0,56577,4,Surat,Pune,2.63,False,1,ef25b1823654dda8,0.067,86,0.423,True,0.121,False,-1,0,CLUSTER_0000,1,LEGITIMATE,0
REF_005358,CUST_42125,CUST_81337,CODE_2125_208,2026-04-19 07:35:09,DEV_74F6E67E,DEV_C57B09F5,10.106.16.135,10.95.12.232,1,icloud.com,1001,101,3,0,52701,1,Kolkata,Ahmedabad,1.47,False,1,2780ff4cf643d927,0.022,94,0.172,True,0.055,False,-1,17,CLUSTER_0000,1,LEGITIMATE,0
REF_003119,CUST_53281,CUST_84991,CODE_3281_183,2025-05-22 08:22:06,DEV_2D1E0AFB,DEV_88F555E7,192.168.165.123,172.31.226.170,2,outlook.com,1171,290,1,0,32963,1,Bengaluru,Jaipur,9.66,False,1,22247e3b6d223b00,0.24,95,0.482,True,0.046,False,-1,17,CLUSTER_0000,1,LEGITIMATE,0
REF_009917,CUST_13842,CUST_66010,CODE_3842_268,2025-05-04 02:45:09,DEV_67D77397,DEV_BE501062,192.168.215.68,172.23.181.15,1,gmail.com,1788,8,3,0,8536,5,Kolkata,Kolkata,38.98,False,2,ac22782f785fdb3b,0.602,107,0.112,True,0.126,False,-1,26,CLUSTER_0000,1,IDENTITY_DOC_REUSE,1
REF_007432,CUST_48175,CUST_80390,CODE_8175_665,2025-09-11 19:56:31,DEV_1AD23E34,DEV_DB407E36,172.19.96.147,172.30.155.250,2,hotmail.com,386,30,0,0,70130,5,Bengaluru,Pune,40.03,False,2,c026af3627200417,0.224,93,0.475,True,0.135,False,-1,15,CLUSTER_0000,1,LEGITIMATE,0
REF_005816,CUST_11767,CUST_95073,CODE_1767_503,2025-07-14 20:47:17,DEV_33AA7669,DEV_3270E3EF,172.25.119.201,192.168.140.139,2,rediffmail.com,823,70,1,0,18666,5,Surat,Hyderabad,27.31,False,2,b1c552313099328b,0.044,86,0.294,True,0.026,False,-1,24,CLUSTER_0000,1,LEGITIMATE,0
REF_006687,CUST_54194,CUST_82978,CODE_4194_979,2025-12-01 07:01:37,DEV_009A902C,DEV_E69F3E28,172.19.196.178,192.168.238.64,2,hotmail.com,693,92,0,0,57169,2,Jaipur,Delhi,25.74,False,1,e2bdf886f523acec,0.141,84,0.383,True,0.11,False,-1,0,CLUSTER_0000,1,LEGITIMATE,0
REF_008276,CUST_33723,CUST_76944,CODE_3723_324,2025-09-01 08:06:00,DEV_81B18D25,DEV_81B18D25,10.30.36.179,192.168.150.153,2,gmail.com,623,307,4,1,79959,3,Bengaluru,Hyderabad,31.31,False,1,47970baadc0137cb,0.259,99,0.122,True,0.07,False,-1,21,CLUSTER_0000,1,SELF_REFERRAL,1
REF_003942,CUST_23730,CUST_88151,CODE_3730_786,2025-12-16 16:48:26,DEV_A20952E2,DEV_6210D1EC,172.28.80.3,10.217.225.38,1,outlook.com,1749,172,3,0,84656,5,Hyderabad,Hyderabad,46.57,False,1,566bb4309aeb8a1e,0.104,92,0.301,True,0.021,False,-1,3,CLUSTER_0000,1,LEGITIMATE,0
REF_008461,CUST_39939,CUST_98575,CODE_9939_965,2025-06-05 21:40:51,DEV_D9257A55,DEV_D9257A55,192.168.14.134,172.28.68.157,1,hotmail.com,725,233,3,1,65417,1,Hyderabad,Chennai,40.98,False,2,9fe700c904615c2d,0.274,29,0.287,True,0.036,False,-1,19,CLUSTER_0000,1,SELF_REFERRAL,1
REF_007657,CUST_19738,CUST_63241,CODE_9738_557,2025-12-10 04:27:53,DEV_72C9853B,DEV_8AA52703,10.24.121.197,172.17.231.66,2,gmail.com,1870,30,3,0,75996,3,Jaipur,Ahmedabad,40.01,False,2,5d8feeabf2a00d12,0.067,39,0.398,True,0.005,False,-1,5,CLUSTER_0000,1,LEGITIMATE,0
REF_004011,CUST_32304,CUST_63493,CODE_2304_386,2025-09-05 02:06:21,DEV_17757461,DEV_437F71DA,192.168.166.126,192.168.251.179,1,outlook.com,1228,291,3,0,43055,5,Surat,Surat,13.51,False,2,1ab2ffc5d9dd510d,0.141,96,0.319,True,0.054,False,-1,26,CLUSTER_0000,1,LEGITIMATE,0
REF_006118,CUST_26003,CUST_72528,CODE_6003_643,2025-10-17 11:13:24,DEV_D386BDFB,DEV_E0A37688,192.168.44.36,10.223.72.4,2,yahoo.com,367,113,1,0,63072,1,Kolkata,Delhi,30.57,False,2,49c62935400c1975,0.037,77,0.209,True,0.085,False,-1,19,CLUSTER_0000,1,LEGITIMATE,0
REF_000648,CUST_34904,CUST_83348,CODE_4904_424,2025-06-28 18:14:08,DEV_19587C79,DEV_CBB8493C,172.22.221.194,172.29.255.49,1,yahoo.com,1215,265,2,0,42203,1,Ahmedabad,Hyderabad,50.65,False,2,80a0b1e704ad5249,0.015,75,0.097,True,0.104,False,-1,13,CLUSTER_0000,1,LEGITIMATE,0
REF_000972,CUST_50993,CUST_77197,CODE_0993_316,2025-07-22 13:33:31,DEV_0F94178B,DEV_9F19BDDC,192.168.229.214,172.26.210.48,2,yahoo.com,375,231,2,0,56233,3,Hyderabad,Kolkata,28.06,False,2,98bf021229f8b0f8,0.045,30,0.268,True,0.083,False,-1,9,CLUSTER_0000,1,LEGITIMATE,0
REF_009614,CUST_55952,CUST_74406,CODE_5952_382,2026-03-16 08:46:48,DEV_DC5F9C35,DEV_8D997F7F,192.168.232.77,10.59.50.198,1,outlook.com,753,230,12,10,83,2,Jaipur,Kolkata,21.48,False,1,68c43478a7d8090d,0.016,29,0.036,True,0.133,False,-1,10,CLUSTER_0000,1,BURST_VELOCITY,1
REF_007593,CUST_39964,CUST_82398,CODE_9964_423,2025-08-23 21:34:14,DEV_8FF2FEAD,DEV_B397E15D,10.169.105.73,172.24.235.196,1,yahoo.com,1991,32,0,0,66955,1,Delhi,Pune,32.87,False,2,6aea8c22457e659d,0.236,31,0.032,True,0.02,False,-1,10,CLUSTER_0000,1,LEGITIMATE,0
REF_004950,CUST_35070,CUST_88049,CODE_5070_993,2025-06-10 07:54:50,DEV_240D9AE4,DEV_E8DC653C,192.168.229.119,172.31.32.199,1,protonmail.com,1524,37,2,0,16516,3,Mumbai,Jaipur,21.75,False,1,88e4e8d643ff99c2,0.276,50,0.482,True,0.138,False,-1,28,CLUSTER_0000,1,LEGITIMATE,0
REF_003185,CUST_29340,CUST_60638,CODE_9340_434,2025-05-01 02:35:49,DEV_0D8D0571,DEV_84F59C0C,192.168.146.77,172.26.68.43,1,hotmail.com,903,157,1,0,20629,4,Kolkata,Hyderabad,39.07,False,2,2dd4d1ce9d013d84,0.088,43,0.395,True,0.096,False,-1,30,CLUSTER_0000,1,LEGITIMATE,0
REF_008274,CUST_58823,CUST_77176,CODE_8823_674,2025-12-08 08:38:57,DEV_766E9369,DEV_766E9369,172.27.243.15,172.30.218.80,2,protonmail.com,228,205,2,0,69882,4,Jaipur,Bengaluru,13.24,False,1,c7cc93734f23e425,0.123,65,0.19,True,0.094,False,-1,7,CLUSTER_0000,1,SELF_REFERRAL,1
REF_005903,CUST_20353,CUST_86289,CODE_0353_175,2026-04-19 11:17:47,DEV_FCA9D7D7,DEV_E19E065F,172.18.253.93,192.168.221.78,2,gmail.com,1749,162,3,0,18681,3,Ahmedabad,Hyderabad,58.53,False,2,b2405ce942f81097,0.015,37,0.178,True,0.067,False,-1,28,CLUSTER_0000,1,LEGITIMATE,0
REF_000108,CUST_18586,CUST_98378,CODE_8586_394,2026-01-17 18:39:11,DEV_3AB6CC45,DEV_8554C584,10.240.47.51,10.211.246.14,1,icloud.com,630,99,3,0,78729,5,Ahmedabad,Surat,17.7,False,1,38abf3700994ac82,0.089,94,0.187,True,0.131,False,-1,17,CLUSTER_0000,1,LEGITIMATE,0
REF_000081,CUST_13291,CUST_95095,CODE_3291_670,2025-04-24 18:31:10,DEV_3CEB6561,DEV_5FB4373A,10.149.110.224,10.177.94.114,2,rediffmail.com,613,128,1,0,12793,3,Chennai,Mumbai,25.4,False,2,ed1c8bf7c72cc563,0.061,92,0.074,True,0.137,False,-1,5,CLUSTER_0000,1,LEGITIMATE,0
REF_006454,CUST_30246,CUST_80559,CODE_0246_907,2025-07-10 13:02:44,DEV_F4352864,DEV_23D233DD,172.18.225.174,10.146.23.230,1,rediffmail.com,1242,319,2,0,41351,4,Ahmedabad,Mumbai,46.47,False,2,2f70c7cbf042ba45,0.112,49,0.281,True,0.086,False,-1,4,CLUSTER_0000,1,LEGITIMATE,0
REF_000036,CUST_18586,CUST_74280,CODE_8586_394,2025-11-24 14:33:00,DEV_3AB6CC45,DEV_7DBC7336,10.240.47.51,172.18.222.40,1,gmail.com,1040,221,3,0,65990,3,Ahmedabad,Mumbai,52.18,False,2,b8523add0dc7b656,0.113,96,0.437,True,0.018,False,-1,30,CLUSTER_0000,1,LEGITIMATE,0
REF_002616,CUST_25269,CUST_89326,CODE_5269_436,2025-07-08 18:14:34,DEV_4B380DA3,DEV_664B3505,10.118.229.144,172.30.189.85,1,gmail.com,306,307,0,0,44507,2,Bengaluru,Bengaluru,31.51,False,2,7afcab4226735bfe,0.116,54,0.131,True,0.042,False,-1,0,CLUSTER_0000,1,LEGITIMATE,0
REF_005771,CUST_54583,CUST_83378,CODE_4583_838,2025-07-02 15:42:31,DEV_332FE6E2,DEV_DBC142B4,10.71.197.249,192.168.3.177,2,rediffmail.com,1766,149,1,0,61431,5,Delhi,Jaipur,47.97,False,2,54a169144169451d,0.067,71,0.413,True,0.143,False,-1,21,CLUSTER_0000,1,LEGITIMATE,0
REF_002555,CUST_53281,CUST_89505,CODE_3281_183,2025-07-25 11:59:17,DEV_2D1E0AFB,DEV_633D2ABE,192.168.165.123,192.168.18.116,1,yahoo.com,464,161,1,0,83415,4,Bengaluru,Hyderabad,43.65,False,2,8e336f2f3c7914a2,0.293,60,0.41,True,0.042,False,-1,13,CLUSTER_0000,1,LEGITIMATE,0
REF_002520,CUST_17578,CUST_73083,CODE_7578_494,2025-08-30 15:47:05,DEV_28A446A7,DEV_62BEBB32,10.37.238.25,10.145.62.33,1,gmail.com,1454,328,1,0,42626,4,Surat,Bengaluru,21.25,False,2,5e2236ab7fe9cc3d,0.021,40,0.295,True,0.145,False,-1,23,CLUSTER_0000,1,LEGITIMATE,0
REF_002710,CUST_54129,CUST_78026,CODE_4129_769,2025-10-19 17:04:27,DEV_33ED942E,DEV_E884B349,10.98.225.232,10.228.21.236,2,hotmail.com,1244,223,2,0,10089,4,Delhi,Kolkata,15.71,False,1,8bac39c429dedc23,0.082,31,0.022,True,0.108,False,-1,6,CLUSTER_0000,1,LEGITIMATE,0
REF_007718,CUST_12604,CUST_90647,CODE_2604_734,2026-01-11 14:51:23,DEV_BC306CA1,DEV_54148740,192.168.81.125,192.168.55.30,2,rediffmail.com,247,245,2,0,53735,5,Delhi,Bengaluru,38.51,False,1,88d6930ec0d32bd1,0.072,70,0.275,True,0.127,False,-1,21,CLUSTER_0000,1,LEGITIMATE,0
REF_009044,CUST_49453,CUST_67526,CODE_9453_127,2025-06-28 13:16:23,DEV_7786500B,DEV_F856E262,10.172.86.30,10.204.211.56,2,protonmail.com,94,98,15,3,2256,4,Jaipur,Hyderabad,24.35,False,1,1e15c894cbe55df0,0.358,25,0.23,True,0.187,False,-1,18,CLUSTER_0000,1,HIGH_VELOCITY,1
REF_003127,CUST_28756,CUST_80776,CODE_8756_894,2025-05-14 14:21:52,DEV_2BC8EC18,DEV_FF48ACD3,172.30.99.23,192.168.88.239,1,rediffmail.com,1215,62,2,0,30699,3,Chennai,Bengaluru,25.78,False,2,180b338ad5ee96f1,0.074,74,0.157,True,0.077,False,-1,14,CLUSTER_0000,1,LEGITIMATE,0
REF_006038,CUST_27485,CUST_66380,CODE_7485_263,2026-01-02 02:03:11,DEV_F13CCF31,DEV_1BE5C55A,172.23.176.187,172.31.192.42,1,outlook.com,1935,205,1,0,27797,3,Delhi,Pune,16.5,False,1,e7830461e8b65a1d,0.214,85,0.278,True,0.14,False,-1,10,CLUSTER_0000,1,LEGITIMATE,0
REF_003338,CUST_10141,CUST_82859,CODE_0141_499,2025-05-15 01:48:36,DEV_86AD710D,DEV_D1E46B48,172.21.145.161,172.16.172.33,1,icloud.com,233,131,3,0,49027,3,Hyderabad,Jaipur,12.49,False,2,fd9869bd237e5aae,0.252,60,0.189,True,0.147,False,-1,26,CLUSTER_0000,1,LEGITIMATE,0
REF_004348,CUST_48465,CUST_88545,CODE_8465_693,2025-11-25 00:28:43,DEV_F764BB2C,DEV_F1FDFCDE,192.168.18.191,10.109.81.253,1,icloud.com,1810,148,0,0,42110,1,Ahmedabad,Pune,55.41,False,1,a0a59da1fdc47609,0.219,76,0.307,True,0.114,False,-1,17,CLUSTER_0000,1,LEGITIMATE,0
REF_007062,CUST_38077,CUST_84432,CODE_8077_697,2025-08-08 22:07:26,DEV_102A8FB2,DEV_3609DD76,172.23.93.25,172.21.198.96,2,hotmail.com,1761,220,2,0,47204,1,Kolkata,Ahmedabad,3.47,False,1,9a4e89f943d4742d,0.069,32,0.012,True,0.082,False,-1,28,CLUSTER_0000,1,LEGITIMATE,0
REF_005805,CUST_57745,CUST_84930,CODE_7745_905,2026-03-24 17:06:28,DEV_85C2C16D,DEV_014CC656,172.26.231.16,172.16.109.92,2,protonmail.com,1939,221,3,0,31828,3,Pune,Bengaluru,30.59,False,2,24fde9ffad282cee,0.12,65,0.057,True,0.094,False,-1,15,CLUSTER_0000,1,LEGITIMATE,0
REF_001113,CUST_46192,CUST_70878,CODE_6192_517,2025-08-29 06:14:40,DEV_5CC92727,DEV_5558ACAB,172.16.134.163,10.251.35.233,1,outlook.com,1877,322,2,0,67411,1,Delhi,Mumbai,3.79,False,2,df4e7e8cf8c5735a,0.121,79,0.067,True,0.124,False,-1,6,CLUSTER_0000,1,LEGITIMATE,0
REF_005193,CUST_27118,CUST_75464,CODE_7118_282,2025-07-07 01:42:05,DEV_96F2A612,DEV_F9A0535B,10.64.207.123,192.168.4.61,2,rediffmail.com,1363,313,3,0,35432,5,Surat,Chennai,56.31,False,2,9ce579a15de4b7f2,0.3,28,0.139,True,0.136,False,-1,2,CLUSTER_0000,1,LEGITIMATE,0
REF_000451,CUST_47345,CUST_63828,CODE_7345_724,2025-08-27 14:49:42,DEV_BDF650AB,DEV_F42A1626,10.245.61.29,10.184.248.14,2,protonmail.com,1100,151,3,0,39973,2,Kolkata,Delhi,20.71,False,2,62963fe9fd021a52,0.144,31,0.227,True,0.022,False,-1,12,CLUSTER_0000,1,LEGITIMATE,0
REF_008905,CUST_39495,CUST_65492,CODE_9495_365,2025-09-15 07:59:33,DEV_E237528C,DEV_56EFF970,192.168.164.192,10.3.26.43,1,protonmail.com,247,294,6,2,2359,1,Chennai,Pune,23.93,False,1,f38147fa8f5307b1,0.103,79,0.213,True,0.029,False,-1,17,CLUSTER_0000,1,HIGH_VELOCITY,1
REF_009024,CUST_45164,CUST_69399,CODE_5164_226,2026-03-30 22:06:55,DEV_213C6E5F,DEV_76AA8BF6,192.168.201.49,10.121.213.202,2,protonmail.com,117,207,8,3,3108,3,Ahmedabad,Ahmedabad,49.5,False,1,bc9b4ac906b13bd7,0.444,94,0.242,True,0.039,False,-1,29,CLUSTER_0000,1,HIGH_VELOCITY,1
REF_007297,CUST_28292,CUST_97093,CODE_8292_459,2025-10-16 15:45:57,DEV_F41FBC2F,DEV_2363A8C7,192.168.110.201,10.168.252.13,1,hotmail.com,583,168,1,0,68784,3,Jaipur,Surat,35.47,False,1,301906137d01ea34,0.122,79,0.232,True,0.099,False,-1,17,CLUSTER_0000,1,LEGITIMATE,0
REF_008991,CUST_14490,CUST_91973,CODE_4490_709,2025-12-05 06:30:39,DEV_9F5B0D09,DEV_912DD5F3,192.168.25.182,172.18.248.32,2,outlook.com,237,162,15,2,1101,1,Delhi,Bengaluru,32.4,False,2,5852b1d23dcd5c5a,0.374,19,0.379,True,0.063,False,-1,29,CLUSTER_0000,1,HIGH_VELOCITY,1
REF_001433,CUST_21543,CUST_69595,CODE_1543_851,2025-12-01 04:10:39,DEV_4408445E,DEV_8FBCCD17,192.168.89.87,10.80.102.192,2,icloud.com,1371,284,0,0,58931,2,Jaipur,Delhi,8.16,False,1,e05cb04e6a571d16,0.011,90,0.239,True,0.13,False,-1,28,CLUSTER_0000,1,LEGITIMATE,0
REF_001361,CUST_53376,CUST_92838,CODE_3376_835,2025-12-01 21:08:26,DEV_7C0A827B,DEV_E375FAA5,172.31.36.87,172.21.208.174,1,hotmail.com,852,277,3,0,56151,2,Ahmedabad,Surat,7.94,False,2,834f70fef4fd81cf,0.126,49,0.474,True,0.1,False,-1,22,CLUSTER_0000,1,LEGITIMATE,0
REF_003045,CUST_40241,CUST_70664,CODE_0241_220,2025-08-26 18:25:34,DEV_EFFF4783,DEV_F609BFD9,10.123.43.60,192.168.244.222,1,rediffmail.com,665,102,2,0,26566,2,Bengaluru,Mumbai,22.43,False,2,8b0be15b9a4e907e,0.194,77,0.065,True,0.099,False,-1,12,CLUSTER_0000,1,LEGITIMATE,0
REF_006498,CUST_54250,CUST_81521,CODE_4250_982,2025-09-07 00:14:58,DEV_71D54020,DEV_98105ECF,10.237.229.183,192.168.188.153,1,gmail.com,1623,346,1,0,39766,3,Chennai,Ahmedabad,29.9,False,2,0f5e78a44edc562b,0.232,22,0.484,True,0.013,False,-1,10,CLUSTER_0000,1,LEGITIMATE,0
REF_002827,CUST_12186,CUST_85640,CODE_2186_693,2025-12-26 19:51:40,DEV_A824FEE1,DEV_759BDB26,192.168.123.64,172.25.223.140,1,hotmail.com,1955,52,1,0,33776,1,Pune,Mumbai,18.75,False,2,49db093d9b37dc49,0.154,77,0.343,True,0.013,False,-1,5,CLUSTER_0000,1,LEGITIMATE,0
REF_000252,CUST_16416,CUST_98383,CODE_6416_151,2025-06-04 12:15:33,DEV_8A60BBF2,DEV_531997AF,10.100.225.201,172.22.176.52,1,gmail.com,716,81,0,0,25188,3,Jaipur,Hyderabad,22.74,False,1,de87ed9ff67ad62c,0.102,38,0.153,True,0.121,False,-1,26,CLUSTER_0000,1,LEGITIMATE,0
